source,target,edgeNumber
Africa
160.124.109.126,196.25.58.113,1
196.25.58.113,196.43.52.42,2
196.43.52.42,72.14.212.1,2
72.14.212.1,72.14.237.239,2
72.14.237.239,216.58.223.4,2
Europa
78.157.167.1,78.157.167.206,1
78.157.167.206,91.210.16.211,7
91.210.16.211,216.239.51.167,21
216.239.51.167,216.239.57.194,21
216.239.57.194,209.85.253.216,20
209.85.253.216,74.125.37.160,28
74.125.37.160,66.249.95.174,29
66.249.95.174,216.239.41.119,28
216.239.41.119,216.58.223.4,28
Norteamerica
209.132.180.92,209.132.180.2,23
209.132.180.2,209.132.181.161,32
209.132.181.161,38.122.88.217,24
38.122.88.217,154.24.18.25,36
154.24.18.25,154.54.1.229,6
154.54.1.229,154.54.30.193,27
154.54.30.193,154.54.41.82,32
154.54.41.82,154.54.11.194,13
154.54.11.194,72.14.194.49,12
72.14.194.49,209.85.248.185,10
209.85.248.185,209.85.246.235,12
209.85.246.235,209.85.254.118,9
209.85.254.118,209.85.246.204,15
209.85.246.204,66.249.94.209,13
66.249.94.209,solicitud,1
solicitud,216.58.223.4,28
Oceania
203.50.77.53,203.50.80.129,1
203.50.80.129,203.50.11.122,2
203.50.11.122,203.50.11.95,14
203.50.11.95,139.130.213.54,13
139.130.213.54,209.85.142.120,12
209.85.142.120,216.239.46.151,13
216.239.46.151,216.58.223.4,28,13
Suramerica
200.20.94.110,200.20.96.73,7
200.20.96.73,64.214.61.249,5
64.214.61.249,72.14.196.195,5
72.14.196.195,72.14.235.111,6
72.14.235.111,64.233.175.85,9
64.233.175.85,216.58.223.4,28

